	SRR1239729	SRR1240041	SRR1239710	SRR1239639	SRR1240070	SRR1239661	SRR1239802	SRR1239731	SRR1239790	SRR1239833
SRR1239729	0.5	-0.823891	-0.743808	-0.973166	-0.824689	-0.862803	-0.840226	-0.732899	-0.933722	-0.550388
SRR1240041	-0.823891	0.5	-0.911004	-1.20164	-0.735781	-0.608146	-1.06462	-1.00192	-1.07771	-0.891215
SRR1239710	-0.743808	-0.911004	0.5	-0.777154	-0.728835	-0.876881	-0.613331	-0.55437	-0.674246	-0.725379
SRR1239639	-0.973166	-1.20164	-0.777154	0.5	-0.703737	-0.819875	-0.670252	-0.720278	-0.617999	-1.04957
SRR1240070	-0.824689	-0.735781	-0.728835	-0.703737	0.5	-0.719767	-0.722238	-0.765702	-0.751115	-0.860901
SRR1239661	-0.862803	-0.608146	-0.876881	-0.819875	-0.719767	0.5	-0.989712	-0.962833	-0.809843	-0.960859
SRR1239802	-0.840226	-1.06462	-0.613331	-0.670252	-0.722238	-0.989712	0.5	-0.376132	-0.597746	-0.900252
SRR1239731	-0.732899	-1.00192	-0.55437	-0.720278	-0.765702	-0.962833	-0.376132	0.5	-0.569473	-0.820189
SRR1239790	-0.933722	-1.07771	-0.674246	-0.617999	-0.751115	-0.809843	-0.597746	-0.569473	0.5	-0.98227
SRR1239833	-0.550388	-0.891215	-0.725379	-1.04957	-0.860901	-0.960859	-0.900252	-0.820189	-0.98227	0.5
